Sintoma 1,Sintoma 2,Doenca Associada
dor no peito,aperto no tórax,Infarto
cansaço constante,fadiga,Insuficiência Cardíaca
falta de ar,dificuldade para respirar,Angina
palpitações,fraqueza,Arritmia Cardíaca
tontura,visão embaçada,Hipertensão
dor de cabeça,confusão mental,Acidente Vascular Cerebral (AVC)
inchaço nas pernas,desconforto no abdômen,Insuficiência Cardíaca Direita
formigamento no braço esquerdo,sudorese intensa,Pré-infarto
desmaios,batimento cardíaco irregular,Fibrilação Atrial
dor na panturrilha,vermelhidão na perna,Trombose Venosa Profunda
